run,lumi,evtid 
1,178,32543
1,178,32589
1,178,32591
1,178,32643
1,178,32693
1,179,32736
1,179,32750
1,179,32794
1,179,32848
1,180,32944
1,180,32933
1,180,32963
1,180,32977
1,182,33204
1,182,33299
1,182,33297
1,183,33422
1,183,33471
1,183,33467
1,183,33521
1,183,33540
1,183,33581
1,184,33732
1,185,33839
1,185,33936
1,185,33939
1,185,33983
1,187,34189
1,188,34356
1,189,34562
1,191,34930
1,210,38499
1,169,30951
1,170,31089
1,171,31228
1,171,31235
1,171,31256
1,171,31280
1,172,31451
1,173,31673
1,174,31808
1,174,31812
1,433,79228
1,433,79297
1,435,79642
1,435,79777
1,436,79805
1,436,79985
1,907,166188
1,907,166208
1,907,166275
1,908,166488
1,909,166618
1,910,166765
1,910,166797
1,911,166974
1,911,167049
1,911,167073
1,911,167089
1,911,167063
1,912,167161
1,925,169585
1,926,169776
1,927,169857
1,927,169945
1,929,170246
1,929,170284
1,929,170304
1,929,170336
1,929,170352
1,929,170381
1,930,170442
1,949,173826
1,949,173936
1,949,173974
1,950,174068
1,951,174210
1,951,174273
1,952,174411
1,953,174603
1,953,174641
1,953,174704
1,953,174740
1,954,174857
1,991,181541
1,991,181602
1,993,181913
1,994,182143
1,994,182178
1,994,182238
1,994,182298
1,995,182386
1,1024,187614
1,1024,187795
1,1025,187825
1,1025,187908
1,1025,187917
1,1026,188039
1,229,41924
1,229,41991
1,230,42132
1,230,42136
1,231,42238
1,231,42304
1,231,42343
1,232,42406
1,232,42405
1,232,42530
1,232,42547
1,233,42610
1,234,42805
1,234,42838
1,234,42863
1,2083,381706
1,2083,381765
1,2083,381845
1,2084,381972
1,2084,382075
1,2086,382327
1,2086,382360
1,2086,382405
1,2086,382420
1,2087,382511
1,2087,382508
1,2087,382531
1,2087,382566
1,2174,398545
1,2174,398597
1,2176,398830
1,2176,398840
1,2176,398849
1,2176,398918
1,2176,398980
1,2177,399002
1,2177,399070
1,2177,399094
1,2177,399102
1,2177,399113
1,2177,399150
1,2178,399231
1,2178,399247
1,2178,399299
1,2287,419162
1,2287,419257
1,2288,419337
1,2288,419486
1,2289,419564
1,2289,419669
1,2289,419671
1,2290,419725
1,2290,419880
1,2291,420008
1,2291,420038
1,2291,420071
1,2292,420154
1,2527,463197
1,2527,463189
1,2528,463409
1,2528,463430
1,2529,463535
1,2529,463678
1,2529,463682
1,2530,463726
1,2531,463916
1,2531,464038
1,2531,464060
1,2532,464108
1,2532,464107
1,2540,465539
1,2540,465587
1,2540,465670
1,2541,465883
1,2542,466012
1,2543,466141
1,2543,466229
1,2543,466255
1,2543,466282
1,2544,466379
1,2702,495266
1,2702,495356
1,2702,495390
1,2703,495475
1,2703,495535
1,2703,495582
1,268,49013
1,268,49058
1,268,49148
1,269,49238
1,269,49245
1,269,49268
1,269,49385
1,270,49479
1,272,49734
1,273,49958
1,273,49970
1,273,49982
1,273,50003
1,273,50051
1,274,50226
1,275,50341
1,275,50405
1,275,50488
1,276,50533
1,276,50522
1,276,50513
1,276,50546
1,277,50641
1,277,50692
1,277,50734
1,277,50799
1,278,50940
1,279,51010
1,279,51046
1,279,51068
1,279,51129
1,279,51174
1,279,51172
1,281,51414
1,281,51472
1,281,51596
1,283,51782
1,285,52172
1,287,52596
1,287,52678
1,288,52731
1,288,52767
1,288,52776
1,325,59455
1,325,59476
1,325,59515
1,325,59530
1,326,59661
1,327,59824
1,327,59907
1,328,60059
1,328,60070
1,329,60381
1,367,67108
1,367,67193
1,367,67298
1,369,67514
1,369,67569
1,369,67650
1,369,67665
1,370,67718
1,370,67823
1,371,67939
1,371,68036
1,372,68160
1,372,68174
1,373,68215
1,373,68278
1,373,68354
1,374,68441
1,374,68459
1,375,68708
1,375,68736
1,375,68792
1,376,68815
1,377,69060
1,377,69063
1,377,69065
1,377,69177
1,378,69261
1,301,55084
1,301,55082
1,301,55133
1,301,55134
1,301,55154
1,301,55182
1,302,55221
1,302,55328
1,302,55339
1,302,55371
1,303,55419
1,304,55626
1,304,55643
1,304,55703
1,304,55763
1,304,55780
1,305,55919
1,306,56090
1,307,56125
1,307,56166
1,308,56470
1,308,56491
1,309,56506
1,309,56529
1,309,56552
1,309,56675
1,310,56837
1,310,56858
1,310,56885
1,312,57109
1,312,57104
1,313,57203
1,313,57222
1,313,57284
1,314,57430
1,314,57550
