run,lumi,evtid
1,354,353292
1,354,353379
1,354,353491
1,354,353802
1,354,353839
1,354,353878
1,369,368020
1,369,368083
1,369,368140
1,369,368269
1,369,368415
1,369,368434
1,369,368435
1,369,368541
1,369,368603
1,369,368667
1,369,368976
1,371,370048
1,371,370077
1,371,370152
1,371,370153
1,371,370312
1,371,370381
1,371,370401
1,371,370408
1,371,370424
1,371,370528
1,371,370578
1,371,370602
1,371,370626
1,371,370885
1,150,149011
1,150,149028
1,150,149051
1,150,149186
1,150,149204
1,150,149229
1,150,149299
1,150,149356
1,150,149379
1,150,149416
1,150,149545
1,150,149617
1,150,149696
1,150,149754
1,150,149766
1,150,149846
1,151,150060
1,151,150102
1,151,150211
1,151,150274
1,151,150391
1,151,150430
1,151,150487
1,151,150489
1,151,150503
1,151,150608
1,151,150686
1,151,150708
1,151,150875
1,152,151032
1,152,151092
1,152,151397
1,152,151466
1,152,151491
1,152,151617
1,152,151619
1,152,151668
1,152,151809
1,152,151979
1,181,180029
1,181,180040
1,181,180408
1,181,180429
1,181,180444
1,181,180461
1,181,180474
1,181,180495
1,181,180547
1,181,180670
1,181,180776
1,181,180841
1,181,180916
1,181,180932
1,182,181014
1,182,181038
1,182,181070
1,182,181079
1,182,181089
1,182,181125
1,182,181253
1,182,181282
1,182,181297
1,182,181341
1,182,181373
1,182,181602
1,182,181654
1,182,181689
1,182,181797
1,182,181930
1,183,182029
1,183,182129
1,183,182145
1,183,182173
1,183,182322
1,183,182432
1,183,182437
1,183,182478
1,183,182559
1,183,182691
1,183,182750
1,183,182831
1,183,182919
1,183,182951
1,184,183059
1,184,183177
1,184,183178
1,184,183217
1,184,183266
1,184,183328
1,184,183592
1,184,183721
1,184,183828
1,184,183822
1,184,183834
1,184,183856
1,184,183975
1,277,276003
1,277,276047
1,277,276078
1,277,276162
1,277,276460
1,277,276465
1,277,276537
1,277,276653
1,277,276822
1,277,276894
1,277,276962
1,277,276968
1,278,277049
1,278,277080
1,278,277086
1,278,277204
1,278,277299
1,278,277384
1,278,277491
1,278,277548
1,278,277571
1,278,277618
1,278,277730
1,278,277745
1,278,277763
1,278,277770
1,278,277776
1,278,277865
1,279,278069
1,279,278126
1,279,278147
1,279,278417
1,279,278456
1,279,278731
1,279,278895
1,279,278914
1,293,292222
1,293,292279
1,293,292343
1,293,292498
1,293,292568
1,293,292722
1,293,292829
1,293,292943
1,293,292954
1,293,292973
1,293,292975
1,294,293009
1,294,293083
1,294,293147
1,294,293230
1,294,293227
1,294,293271
1,294,293282
1,294,293461
1,294,293555
1,294,293572
1,294,293586
1,294,293611
1,294,293696
1,294,293730
1,294,293846
1,294,293987
1,294,293997
1,295,294037
1,295,294059
1,295,294108
1,295,294154
1,295,294303
1,295,294361
1,295,294404
1,295,294550
1,295,294664
1,295,294680
1,295,294686
1,295,294842
1,295,294866
1,295,294906
1,296,295009
1,296,295046
1,296,295090
1,296,295164
1,296,295389
1,296,295517
1,296,295583
1,296,295742
1,296,295743
1,296,295762
1,296,295930
1,320,319015
1,320,319035
1,320,319101
1,320,319116
1,320,319163
1,320,319180
1,320,319413
1,320,319428
1,320,319586
1,320,319714
1,320,319832
1,320,319856
1,333,332009
1,333,332056
1,333,332069
1,333,332171
1,333,332186
1,333,332310
1,333,332404
1,333,332468
1,333,332624
1,333,332651
1,333,332676
1,333,332696
1,333,332856
1,334,333273
1,334,333569
1,334,333601
1,334,333683
1,334,333722
1,334,333726
1,334,333717
1,334,333778
1,334,333810
1,334,333893
1,334,333972
1,334,333983
1,335,334156
1,335,334198
1,335,334248
1,335,334350
1,335,334470
