run,lumi,evtid
1,447,446955
1,447,446988
1,53,52051
1,53,52224
1,53,52332
1,53,52474
1,53,52519
1,53,52524
1,53,52791
1,54,53056
1,54,53085
1,54,53099
1,54,53159
1,54,53189
1,54,53221
1,54,53307
1,54,53357
1,54,53524
1,54,53971
1,55,54035
1,55,54054
1,55,54178
1,55,54232
1,55,54273
1,55,54355
1,55,54409
1,55,54424
1,55,54656
1,55,54676
1,55,54704
1,55,54759
1,55,54793
1,55,54896
1,55,54923
1,55,54970
1,56,55062
1,56,55097
1,56,55188
1,56,55211
1,56,55251
1,56,55252
1,56,55273
1,56,55381
1,56,55411
1,56,55595
1,56,55883
1,56,55898
1,345,344007
1,345,344060
1,345,344231
1,345,344236
1,345,344350
1,345,344553
1,345,344577
1,345,344600
1,345,344665
1,345,344690
1,345,344748
1,345,344787
1,345,344998
1,346,345199
1,346,345362
1,347,346298
1,347,346371
1,347,346388
1,347,346539
1,347,346891
1,347,346914
1,347,346997
1,348,347090
1,348,347111
1,348,347174
1,348,347183
1,348,347422
1,348,347617
1,348,347650
1,348,347846
1,348,347970
1,389,388085
1,389,388087
1,389,388287
1,389,388931
1,390,389170
1,390,389178
1,390,389255
1,390,389302
1,390,389412
1,390,389547
1,390,389648
1,390,389888
1,390,389965
1,391,390035
1,391,390117
1,391,390124
1,391,390191
1,391,390194
1,391,390305
1,391,390353
1,391,390401
1,391,390486
1,391,390508
1,391,390833
1,392,391288
1,392,391657
1,392,391826
1,392,391959
1,465,464228
1,465,464444
1,465,464514
1,465,464721
1,465,464713
1,465,464787
1,465,464828
1,465,464948
1,465,464943
1,466,465149
1,466,465166
1,466,465177
1,466,465253
1,466,465304
1,466,465439
1,466,465692
1,466,465714
1,466,465853
1,466,465923
1,467,466658
1,467,466680
1,467,466727
1,467,466813
1,467,466866
1,467,466959
1,468,467032
1,468,467463
1,468,467520
1,468,467558
1,468,467579
1,468,467796
1,468,467869
1,468,467988
1,361,360028
1,361,360297
1,361,360311
1,361,360638
1,361,360636
1,361,360651
1,361,360836
1,361,360852
1,362,361121
1,362,361285
1,362,361602
1,362,361666
1,362,361705
1,362,361755
1,362,361762
1,362,361784
1,362,361776
1,363,362152
1,363,362183
1,363,362187
1,363,362333
1,363,362353
1,363,362363
1,363,362465
1,363,362561
1,363,362753
1,363,362860
1,364,363025
1,364,363094
1,364,363366
1,364,363607
1,364,363684
1,364,363809
1,364,363869
1,365,364010
1,365,364166
1,365,364256
1,365,364303
1,365,364412
1,365,364746
1,365,364831
1,365,364830
1,365,364872
1,365,364931
1,366,365065
1,366,365205
1,366,365277
1,366,365306
1,366,365391
1,366,365559
1,366,365599
1,366,365863
1,366,365873
1,366,365964
1,374,373005
1,374,373034
1,374,373134
1,374,373483
1,374,373516
1,374,373810
1,374,373824
1,375,374132
1,375,374259
1,375,374348
1,375,374573
1,375,374656
1,375,374668
1,375,374855
1,375,374948
1,249,248156
1,249,248172
1,249,248184
1,249,248221
1,249,248267
1,249,248330
1,249,248358
1,249,248425
1,249,248501
1,249,248552
1,249,248997
1,250,249028
1,250,249120
1,250,249149
1,250,249232
1,250,249276
1,250,249567
1,250,249614
1,250,249612
1,250,249768
1,250,249905
1,250,249994
1,251,250056
1,251,250087
1,251,250145
1,251,250288
1,251,250625
1,251,250667
1,251,250707
1,251,250799
1,251,250974
1,252,251108
1,252,251154
1,252,251152
1,252,251203
1,252,251253
1,252,251331
1,252,251473
1,252,251532
1,252,251539
1,252,251596
1,252,251869
1,252,251958
1,257,256131
1,257,256173
1,257,256290
1,257,256309
1,257,256705
1,257,256760
1,257,256869
1,258,257062
1,258,257063
1,258,257157
1,258,257256
1,258,257248
1,258,257377
1,258,257441
1,258,257474
1,258,257542
1,258,257877
1,258,257898
1,258,257912
1,258,257995
1,259,258051
1,259,258057
1,259,258111
1,259,258172
1,259,258376
1,259,258554
1,259,258569
1,259,258640
1,259,258666
1,259,258784
1,259,258805
1,259,258879
1,259,258921
1,259,258944
1,260,259096
1,260,259227
1,260,259369
1,260,259545
1,260,259586
1,260,259747
1,260,259776
1,260,259833
1,201,200076
1,201,200097
1,201,200193
1,201,200228
1,201,200341
1,201,200385
1,201,200416
1,201,200477
1,201,200578
1,201,200687
1,201,200912
1,202,201053
1,202,201122
1,202,201323
1,202,201352
1,202,201789
1,202,201816
1,202,201829
1,202,201877
1,203,202111
1,204,203121
1,204,203142
1,204,203624
1,204,203645
1,204,203678
1,204,203691
1,204,203747
1,204,203942
1,213,212039
1,213,212249
1,213,212265
1,213,212331
1,213,212470
1,213,212502
1,213,212568
1,213,212587
1,213,212778
1,213,212910
1,213,212957
1,214,213013
1,214,213050
1,214,213147
1,214,213232
1,214,213240
1,214,213311
1,214,213335
1,214,213475
1,214,213618
1,214,213742
1,214,213744
1,214,213756
1,214,213812
1,215,214001
1,215,214069
1,215,214165
1,215,214201
1,215,214309
1,215,214307
1,215,214508
1,215,214571
1,215,214661
1,215,214822
1,215,214897
1,216,215101
1,216,215115
1,216,215137
1,216,215156
1,216,215672
1,216,215773
1,216,215784
1,221,220030
1,221,220029
1,221,220047
1,221,220257
1,221,220293
1,221,220489
1,221,220819
1,221,220875
1,221,220972
1,221,220995
1,222,221218
1,222,221293
1,222,221363
1,222,221465
1,222,221468
1,222,221714
1,222,221733
1,222,221939
1,223,222067
1,223,222168
1,223,222227
1,223,222262
1,223,222433
1,223,222448
1,223,222467
1,223,222724
1,223,222802
1,224,223058
1,224,223321
1,224,223368
1,224,223387
1,224,223599
1,224,223697
1,224,223795
1,224,223876
1,241,240119
1,241,240115
1,241,240205
1,241,240250
1,241,240289
1,241,240307
1,241,240465
1,241,240590
1,241,240703
1,241,240857
1,241,240919
1,242,241318
1,242,241410
1,242,241424
1,242,241445
1,242,241495
1,242,241597
1,242,241640
1,242,241844
1,242,241862
1,242,241904
1,243,242339
1,243,242639
1,243,242732
1,243,242940
1,244,243330
1,244,243458
1,244,243494
1,244,243528
1,244,243755
1,244,243777
1,244,243913
1,244,243935
1,244,243934
1,385,384320
1,385,384526
1,385,384643
1,385,384641
1,385,384644
1,385,384725
1,385,384760
1,385,384910
1,385,384981
1,386,385226
1,386,385232
1,386,385353
1,386,385687
1,386,385688
1,386,385690
1,386,385846
1,386,385882
1,386,385921
1,387,386153
1,387,386301
1,387,386403
1,387,386432
1,387,386462
1,387,386585
1,387,386697
1,387,386739
1,387,386803
1,387,386837
1,387,386846
1,388,387037
1,388,387176
1,388,387293
1,388,387452
1,388,387712
1,388,387848
1,393,392025
1,393,392209
1,393,392361
1,393,392421
1,393,392732
1,393,392787
1,393,392822
