,run,lumi,evtid
2198,1,173,172155
2199,1,173,172176
2200,1,173,172216
2201,1,173,172263
2202,1,173,172506
2203,1,173,172539
2204,1,173,172651
2207,1,174,173258
2211,1,174,173720
2213,1,174,173738
2217,1,174,173914
2223,1,175,174571
2225,1,175,174590
2229,1,175,174713
2230,1,175,174747
2231,1,175,174865
2235,1,176,175031
2239,1,176,175247
2240,1,176,175258
2242,1,176,175338
2250,1,176,175899
2251,1,176,175940
2254,1,273,272334
2255,1,273,272335
2260,1,273,272926
2261,1,274,273111
2263,1,274,273264
2265,1,274,273286
2266,1,274,273317
2272,1,274,273775
2275,1,274,273861
2276,1,274,273850
2277,1,274,273888
2290,1,276,275162
2293,1,276,275273
2294,1,276,275298
2295,1,276,275296
2299,1,276,275687
2300,1,276,275805
2302,1,276,275965
2303,1,285,284015
2308,1,285,284633
2310,1,285,284749
2312,1,286,285068
2314,1,286,285197
2315,1,286,285337
2320,1,287,286021
2323,1,287,286126
2328,1,287,286249
2331,1,287,286339
2337,1,287,286713
2338,1,287,286800
2342,1,288,287103
2347,1,288,287357
2349,1,288,287551
2353,1,288,287732
2357,1,288,287961
2358,1,481,480003
2366,1,481,480499
2367,1,481,480540
2371,1,481,480645
2375,1,481,480763
2376,1,481,480827
2380,1,482,481102
2382,1,482,481155
2386,1,482,481468
2388,1,482,481558
2390,1,482,481628
2391,1,482,481772
2393,1,482,481874
2405,1,484,483088
2409,1,484,483232
2413,1,484,483655
2414,1,325,324117
2417,1,325,324320
2420,1,325,324714
2423,1,325,324954
2437,1,327,326014
2439,1,327,326135
2451,1,327,326879
2452,1,327,326901
2459,1,328,327702
2463,1,341,340157
2468,1,341,340590
2469,1,341,340638
2470,1,341,340796
2481,1,342,341452
2483,1,342,341668
2485,1,343,342018
2490,1,343,342651
2492,1,343,342744
2493,1,343,342881
2495,1,343,342921
2499,1,344,343266
2500,1,344,343489
2501,1,344,343611
2503,1,344,343926
2504,1,367,366108
2509,1,367,366272
2513,1,367,366454
2516,1,367,366705
2521,1,368,367419
2522,1,368,367487
2523,1,368,367653
2525,1,373,372044
2535,1,373,372920
2544,1,376,375756
2545,1,376,375766
2546,1,376,375889
2552,1,280,279671
2554,1,280,279677
2559,1,317,316041
2562,1,317,316113
2571,1,318,317113
2575,1,318,317563
2576,1,318,317561
2577,1,318,317597
2578,1,318,317598
2581,1,318,317886
2583,1,318,317917
2586,1,319,318111
2592,1,319,318627
2598,1,355,354351
2606,1,356,355141
2609,1,356,355423
2610,1,356,355402
2613,1,356,355758
2615,1,356,355779
2625,1,370,369489
2626,1,370,369613
2627,1,370,369647
2628,1,370,369784
2629,1,370,369804
2632,1,372,371029
2640,1,372,371785
2644,1,377,376173
2647,1,377,376381
2652,1,377,376793
2653,1,377,376836
2654,1,377,376906
2656,1,378,377144
2658,1,378,377513
2660,1,378,377643
2661,1,378,377710
2662,1,378,377758
2664,1,378,377989
2666,1,379,378064
2667,1,379,378160
2668,1,379,378258
2674,1,379,378790
2692,1,21,20149
2693,1,21,20184
2694,1,21,20252
2696,1,21,20333
2700,1,21,20879
2704,1,22,21389
2705,1,22,21388
2710,1,22,21868
2713,1,23,22122
2715,1,23,22239
2719,1,23,22614
2722,1,24,23176
2724,1,24,23293
2726,1,24,23307
2729,1,24,23690
2735,1,29,28136
2736,1,29,28241
2744,1,29,28952
2746,1,30,29156
2747,1,30,29293
2749,1,30,29620
2752,1,30,29898
2753,1,30,29912
2754,1,31,30008
2758,1,31,30630
2759,1,31,30627
2761,1,31,30853
2762,1,31,30870
2763,1,32,31048
2764,1,32,31054
2769,1,32,31746
2772,1,32,31888
2775,1,281,280016
2777,1,281,280316
2778,1,281,280368
2779,1,281,280472
2784,1,281,280847
2785,1,281,280911
2791,1,282,281142
2792,1,282,281188
2796,1,282,281505
2797,1,282,281538
2799,1,282,281652
2800,1,282,281654
2801,1,282,281704
2804,1,282,281963
2806,1,283,282087
2810,1,283,282301
2811,1,283,282390
2814,1,283,282497
2816,1,283,282845
2817,1,283,282898
2833,1,297,296493
2837,1,298,297177
2839,1,298,297438
2842,1,298,297651
2846,1,299,298135
2847,1,299,298333
2850,1,299,298546
2851,1,299,298588
2852,1,299,298642
2853,1,299,298636
2854,1,299,298679
2865,1,405,404035
2869,1,405,404154
2875,1,405,404672
2879,1,406,405130
2889,1,407,406145
2893,1,407,406792
2902,1,408,407550
2914,1,413,412362
2918,1,413,412799
2921,1,414,413411
2925,1,414,413532
2931,1,415,414350
2937,1,416,415077
2938,1,416,415263
2939,1,416,415316
2944,1,416,415823
2948,1,417,416514
2951,1,417,416584
2952,1,417,416587
2954,1,417,416601
2957,1,417,416717
2958,1,417,416809
2960,1,417,416959
2962,1,418,417063
2964,1,418,417135
2969,1,418,417697
2989,1,420,419435
2993,1,420,419738
2997,1,421,420097
2999,1,421,420199
3000,1,421,420288
3004,1,421,420433
3005,1,421,420505
3006,1,421,420514
3009,1,421,420740
3011,1,421,420888
3014,1,421,420995
3016,1,422,421274
3017,1,422,421358
3020,1,422,421624
3021,1,422,421655
3025,1,422,421977
3030,1,423,422359
3038,1,424,423461
3040,1,424,423849
3042,1,424,423918
3044,1,424,423987
3046,1,449,448046
3047,1,449,448106
3050,1,449,448174
3054,1,449,448477
3058,1,449,448801
3063,1,450,449387
3065,1,450,449476
3066,1,450,449685
3067,1,450,449701
3068,1,450,449826
3074,1,451,450070
3075,1,451,450118
3078,1,451,450185
3081,1,451,450253
3083,1,451,450747
3086,1,452,451088
3088,1,452,451227
3090,1,452,451499
3091,1,452,451566
3094,1,452,451811
3097,1,452,451961
3102,1,485,484762
3105,1,486,485274
3115,1,486,485762
3116,1,486,485807
3119,1,486,485967
3123,1,487,486297
3125,1,487,486469
3127,1,487,486722
3128,1,487,486776
3129,1,487,486898
3130,1,487,486934
3132,1,488,487090
3134,1,488,487200
3135,1,488,487217
3136,1,488,487232
3137,1,488,487297
3139,1,488,487451
3141,1,488,487466
3142,1,488,487620
3144,1,488,487791
3151,1,65,64245
3152,1,65,64358
3156,1,65,64772
3166,1,66,65585
3172,1,67,66030
3179,1,67,66394
3180,1,67,66444
3181,1,67,66481
3184,1,67,66954
3185,1,68,67252
3188,1,68,67375
3192,1,68,67642
3195,1,68,67755
3198,1,68,67923
3201,1,105,104195
3203,1,105,104372
3204,1,105,104400
3205,1,105,104398
3207,1,105,104720
3209,1,105,104864
3213,1,105,104977
3218,1,106,105628
3221,1,106,105752
3222,1,106,105773
3223,1,106,105846
3226,1,106,105964
3227,1,106,105992
3232,1,107,106086
3234,1,107,106158
3236,1,107,106224
3238,1,107,106551
3241,1,107,106675
3247,1,108,107075
3250,1,108,107202
3251,1,108,107209
3253,1,108,107559
3265,1,186,185055
3268,1,186,185223
3269,1,186,185259
3272,1,186,185361
3273,1,186,185575
3280,1,187,186133
3281,1,187,186216
3285,1,187,186930
3290,1,188,187281
3291,1,188,187440
3293,1,188,187895
3295,1,233,232056
3302,1,233,232796
3303,1,233,232800
3306,1,234,233125
3308,1,234,233191
3311,1,234,233312
3313,1,234,233421
3314,1,234,233625
3316,1,234,233663
3322,1,235,234280
3325,1,235,234380
3329,1,235,234807
3330,1,235,234867
3340,1,128,127068
3343,1,128,127495
3347,1,128,127872
3349,1,128,127981
3351,1,169,168026
3352,1,169,168198
3358,1,169,168737
3360,1,169,168786
3366,1,170,169385
3375,1,170,169997
3378,1,171,170149
3380,1,171,170379
3384,1,171,170754
3389,1,172,171134
3392,1,172,171520
3395,1,172,171808
3402,1,401,400735
3403,1,401,400783
3404,1,401,400827
3405,1,401,400898
3412,1,402,401346
3415,1,403,402278
3416,1,403,402442
3418,1,403,402607
3419,1,403,402667
3423,1,125,124529
3428,1,125,124877
3429,1,125,124963
3431,1,126,125295
3432,1,126,125604
3435,1,126,125727
3439,1,127,126091
3440,1,127,126271
3443,1,127,126323
3444,1,127,126630
3445,1,127,126643
3452,1,404,403148
3455,1,404,403401
3459,1,404,403967
3466,1,329,328593
3468,1,329,328837
3475,1,330,329421
3476,1,330,329533
3477,1,330,329570
3479,1,330,329842
3485,1,331,330131
3487,1,331,330331
3489,1,331,330736
3493,1,332,331119
3495,1,332,331387
3501,1,473,472093
3503,1,473,472189
3504,1,473,472271
3507,1,473,472833
3510,1,473,472985
3512,1,474,473026
3520,1,475,474296
3523,1,475,474482
3531,1,476,475120
3532,1,476,475127
3534,1,476,475418
3539,1,476,475865
3542,1,133,132060
3549,1,133,132618
3557,1,134,133581
3561,1,134,133765
3562,1,134,133898
3565,1,135,134097
3576,1,135,134956
3579,1,136,135131
3588,1,165,164116
3596,1,165,164715
3600,1,166,165201
3603,1,166,165609
3609,1,166,165992
3611,1,167,166126
3613,1,167,166505
3614,1,167,166536
3618,1,167,166953
3620,1,168,167446
3624,1,168,167634
3626,1,245,244151
3628,1,245,244208
3630,1,245,244565
3639,1,246,245469
3640,1,246,245490
3643,1,246,245635
3645,1,246,245717
3646,1,246,245832
3648,1,246,245869
3654,1,247,246255
3657,1,247,246691
3658,1,247,246792
3660,1,247,246875
3661,1,247,246919
3662,1,247,246971
3665,1,248,247259
3666,1,248,247421
3674,1,248,247986
3676,1,265,264045
3679,1,265,264307
3681,1,265,264445
3684,1,265,264522
3685,1,265,264562
3689,1,266,265309
3690,1,266,265317
3692,1,266,265383
3697,1,266,265781
3700,1,267,266090
3703,1,267,266399
3709,1,267,266917
3713,1,268,267153
3717,1,268,267533
3721,1,268,267729
3725,1,137,136002
3729,1,137,136227
3733,1,137,136461
3741,1,138,137377
3750,1,139,138256
3751,1,139,138306
3756,1,139,138906
3765,1,427,426529
3768,1,427,426716
3770,1,427,426910
3773,1,453,452244
3778,1,453,452435
3780,1,453,452565
3786,1,454,453210
3787,1,454,453626
3795,1,455,454427
3798,1,455,454941
3799,1,456,455051
3802,1,456,455414
3804,1,456,455451
3806,1,456,455575
3813,1,140,139106
3814,1,140,139134
3821,1,140,139470
3822,1,140,139549
3823,1,140,139584
3825,1,140,139705
3830,1,140,139913
3833,1,141,140162
3839,1,141,140468
3843,1,141,140898
3852,1,143,142308
3855,1,143,142754
3858,1,144,143133
3860,1,144,143445
3861,1,144,143460
3868,1,425,424418
3869,1,425,424479
3873,1,425,424775
3874,1,425,424794
3876,1,425,424899
3880,1,426,425226
3883,1,426,425487
3885,1,426,425685
3889,1,426,425999
3904,1,89,88109
3905,1,89,88303
3911,1,89,88755
3913,1,90,89093
3915,1,90,89140
3917,1,90,89502
3918,1,90,89515
3920,1,90,89725
3921,1,90,89799
3922,1,90,89940
3925,1,91,90025
3928,1,91,90240
3933,1,91,90785
3941,1,92,91217
3942,1,92,91246
3943,1,92,91282
3946,1,92,91504
3952,1,93,92271
3954,1,93,92516
3960,1,93,92767
3961,1,93,92809
3962,1,93,92819
3964,1,94,93109
3965,1,94,93129
3968,1,94,93444
3970,1,94,93697
3971,1,94,93969
3972,1,94,93991
3976,1,95,94650
3977,1,95,94704
3978,1,96,95333
3980,1,96,95475
3981,1,96,95478
3988,1,96,95992
3991,1,97,96358
4005,1,98,97760
4006,1,98,97816
4008,1,99,98186
4010,1,99,98380
4012,1,99,98465
4025,1,100,99104
4027,1,100,99321
4033,1,100,99756
4035,1,100,99890
4045,1,382,381011
4046,1,382,381066
4048,1,382,381194
4049,1,382,381253
4053,1,382,381732
4056,1,382,381845
4060,1,383,382103
4062,1,383,382316
4066,1,383,382423
4075,1,384,383234
4079,1,384,383459
4080,1,384,383480
4081,1,384,383485
4086,1,384,383696
4088,1,384,383872
4089,1,384,383962
4090,1,429,428157
4091,1,429,428197
4092,1,429,428288
4123,1,431,430625
4124,1,431,430696
4126,1,431,430799
4131,1,432,431695
4135,1,432,431874
4138,1,437,436299
4139,1,437,436462
4140,1,437,436643
4141,1,437,436662
4146,1,437,436962
4158,1,439,438165
4168,1,439,438515
4175,1,440,439001
4178,1,440,439195
4182,1,440,439598
4183,1,440,439759
4187,1,440,439976
4191,1,205,204085
4192,1,205,204180
4193,1,205,204231
4194,1,205,204256
4195,1,205,204362
4200,1,205,204873
4216,1,207,206438
4222,1,207,206713
4224,1,207,206848
